DeviceVersion;Android;Type test (UP ou DOWN);Temps (ms);octet;n paquet;Debit (Ko/s);interval_min;interval_max;Slave_latency;Timeout 
_;_;UP;5606;512;8;0.091331;8;8;0;400 
_;_;DOWN;1558;512;25;0.328626;8;8;0;400 
_;_;UP;5509;512;8;0.092939;16;16;0;400 
_;_;DOWN;1753;512;25;0.292071;16;16;0;400 
_;_;UP;3990;512;8;0.128321;24;24;0;400 
_;_;DOWN;1859;512;25;0.275417;24;24;0;400 
_;_;UP;5640;512;8;0.090780;32;32;0;400 
_;_;DOWN;1080;512;25;0.474074;32;32;0;400 
_;_;UP;6300;512;8;0.081270;40;40;0;400 
_;_;DOWN;1050;512;26;0.487619;40;40;0;400 
_;_;UP;6360;512;8;0.080503;48;48;0;400 
_;_;DOWN;1679;512;25;0.304943;48;48;0;400 
_;_;UP;7139;512;8;0.071719;56;56;0;400 
_;_;DOWN;1470;512;26;0.348299;56;56;0;400 
_;_;UP;7920;512;8;0.064646;64;64;0;400 
_;_;DOWN;1920;512;25;0.266667;64;64;0;400 
_;_;UP;9270;512;8;0.055232;72;72;0;400 
_;_;DOWN;1620;512;25;0.316049;72;72;0;400 
_;_;UP;9500;512;8;0.053895;80;80;0;400 
_;_;DOWN;2100;512;25;0.243810;80;80;0;400 
